Критерии,ВУЗы,,,,,,,,,,,
,НИУ ВШЭ филианл НН,,,,ННГУ,,,,Политех НГТУ,,,
,ТИДИ,,КНТ,,ПИ,,ПМИ,,ПИ,,ПМИ,
"Доп Баллы (за что дают, конкретные олимпиады и тп)","3 балла:
- Аттестат/диплом с отличием.
- Медаль «За особые успехи в учении».

10 баллов:
- «Абилимпикс».
- Военная служба.
- Статус чемпиона/призёра международных спортивных мероприятий.
- Победитель/призёр заключительного этапа ВсОШ и аналогичных олимпиад.

Одно из:
2 балла:
- «Доброволец России» / #МЫВМЕСТЕ.
- Волонтёрство ≥100 часов.
- «Экология — дело каждого».
- «Большая перемена».
- «Моя страна — моя Россия».
- Всероссийский конкурс молодёжных проектов.
- «Умножая таланты».
- Знак ГТО.

7 баллов:
- Спортивное звание.

5 баллов:
- Кандидат в мастера спорта.

Одно из:
6 баллов:
- Олимпиады школьников с БВИ/100 баллов.
- Региональный этап ВсОШ.
- «КЛЮЧ» (региональный этап).
- Нижегородская городская олимпиада.
- НОУ «Эврика».
- «В Вышку за проектом».

8 баллов:
- «КЛЮЧ» (суперфинал/финал).
- «Своими словами».
- «Высший пилотаж».

4 балла:
- «Угол».
- «Часы истории».
- «Пульсар-Хакатон».
- «Взгляд в будущее».
- Профориентационные мероприятия НЕЙМАРК.IT.",,,,"10 баллов:
- Аттестат/диплом с отличием, золотая или серебряная медаль.
- Статус чемпиона/призёра Олимпийских(Паралимпийских, Сурдлимпийских) игр, мира, Европы.
- Победители и призёры олимпиад школьников из Перечня Минобрнауки.
- Победители и призёры регионального этапа ВсОШ.

8 баллов:
- Победители чемпионата «Абилимпикс».
- Спортивное звание МСМК.

6 баллов:
- Диплом I степени конкурсов учебно-исследовательских работ ННГУ.
- Спортивное звание МС.

5 баллов:
- Победители городской конференции НОУ «Эврика»
- Участники регионального этапа ВсОШ.
- Победители конкурса «Большая перемена».
- Победители олимпиад и конкурсов из Перечня Минпросвещения РФ.
- Призёры чемпионата «Абилимпикс».

4 балла:
- Дипломы II и III степени конкурсов учебно-исследовательских работ ННГУ.
- Победители творческих конкурсов/фестивалей/олимпиад факультетов ННГУ.
- Волонтёрство от 4 лет (не менее 100 часов в год на dobro.ru).
- Спортивное звание КМС.

3 балла:
- Золотой знак ГТО.
- Участники заключительного этапа перечневых олимпиад школьников.
- Призёры конференции НОУ «Эврика».
- Призёры конкурса «Большая перемена».
- Призёры мероприятий из Перечня Минпросвещения РФ.
- Победители спортивного мероприятия «Кубок абитуриента ННГУ».
- Победители и призёры федерального этапа «Доброволец России».
- Волонтёрство от 3 лет (не менее 100 часов в год на dobro.ru).

2 балла:
- Серебряный или бронзовый знак ГТО.
- Победители и призёры муниципального (2-го) этапа ВсОШ.
- Призёры творческих конкурсов/фестивалей/олимпиад факультетов ННГУ.
- Участники конкурсов учебно-исследовательских работ ННГУ.
- Призёры «Кубка абитуриента ННГУ».
- Региональный знак за добровольчество / победитель регион. этапа «Доброволец России».
- Волонтёрство от 2 лет (не менее 100 часов в год на dobro.ru).

1 балл:
- Участники конференции НОУ «Эврика».
- Участники творческих конкурсов/фестивалей/олимпиад факультетов ННГУ.
- Участники мероприятий из Перечня Минпросвещения РФ.
- Участники «Кубка абитуриента ННГУ».
- Волонтёрство от 1 года (не менее 100 часов в год на dobro.ru).",,,,"10 баллов:
- Аттестат/диплом с отличием.
- Золотая или серебряная медаль «За особые успехи в учении».

9 баллов:
- Победитель регионального этапа ВсОШ.
- Победитель/призёр отборочного этапа олимпиад школьников из Перечня Минобрнауки РФ — I степень.
- Победитель «Абилимпикс».

8 баллов:
- Призёр регионального этапа ВсОШ — II степень.
- Победитель/призёр отборочного этапа олимпиад школьников из Перечня Минобрнауки РФ — II степень.
- Победитель/призёр олимпиад и конкурсов из Перечня Минпросвещения РФ — I степень.

7 баллов:
- Призёр регионального этапа ВсОШ — III степень.
- Победитель муниципального этапа ВсОШ — I степень.
- Победитель/призёр отборочного этапа олимпиад школьников из Перечня Минобрнауки РФ — III степень.
- Призёр «Абилимпикс».
- Победитель олимпиад и технических/интеллектуальных конкурсов, проводимых НГТУ — I степень.

6 баллов:
- Победитель муниципального этапа ВсОШ — II степень.
- Призёр олимпиад и технических/интеллектуальных конкурсов, проводимых НГТУ — II степень.
- Победитель/призёр олимпиад и конкурсов из Перечня Минпросвещения РФ — II степень.

5 баллов:
- Победитель муниципального этапа ВсОШ — III степень.
- Победитель/призёр олимпиад и конкурсов из Перечня Минпросвещения РФ — III степень.
- Победитель олимпиад и технических/интеллектуальных конкурсов НГТУ — III степень.
- Прохождение военной службы по контракту, военной службы по мобилизации, пребывание в добровольческих формированиях в соответствии с контрактом о добровольном содействии ВС РФ.
- Золотой знак ГТО.

4 балла:
- Серебряный знак ГТО.

3 балла:
- Бронзовый знак ГТО.
- Прохождение военной службы по призыву.
- Дополнительное образование по программам, соответствующим конкурсному профилю НГТУ, объёмом более 64 часов.

2 балла:
- Дополнительное образование по программам, соответствующим конкурсному профилю НГТУ, объёмом 33–64 часа.

1 балл:
- Результативное участие в мероприятиях, проводимых НГТУ.
- Дополнительное образование по программам, соответствующим конкурсному профилю НГТУ, объёмом 16–32 часа.",,,
Условия для БВИ (кроме ВОШ),"- Всероссийская междисциплинарная олимпиада школьников 8-11 классов «Национальная технологическая олимпиада»
- Московская олимпиада школьников
- Всероссийская олимпиада школьников «Высшая проба»
- Олимпиада школьников «Шаг в будущее»
- Отраслевая олимпиада школьников «Газпром»
- Олимпиада школьников «Физтех»
- Олимпиада школьников Санкт-Петербургского государственного университета
- Олимпиада школьников «Ломоносов»
- Всероссийский конкурс научных работ школьников «Юниор»
- Открытая олимпиада школьников по программированию «Когнитивные технологии»
- Открытая олимпиада школьников по программированию
- Открытая олимпиада школьников
- Олимпиада школьников по программированию «ТехноКубок»
- Олимпиада школьников по информатике и программированию
- Олимпиада школьников «Гранит науки»
- Международная олимпиада школьников Уральского федерального университета «Изумруд»
- Международная олимпиада «Innopolis Open»
- Вузовско-академическая олимпиада по информатике
- Всесибирская открытая олимпиада школьников
- Олимпиада школьников «Покори Воробьевы горы!»
- Олимпиада Курчатов
- Объединенная межвузовская олимпиада школьников
- Межрегиональная олимпиада школьников «Будущие исследователи — будущее науки»
- «Формула Единства»/«Третье тысячелетие»
- Межрегиональная олимпиада школьников имени И.Я. Верченко
- Всероссийская олимпиада по искусственному интеллекту
- Отраслевая физико-математическая олимпиада школьников «Росатом»
- Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»
- Университетская олимпиада школьников «Бельчонок»
- Олимпиада школьников «Высокие технологии и материалы будущего»
- Всероссийская Толстовская олимпиада школьников
- Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации
- Региональный конкурс школьников Челябинского университетского образовательного округа
- Государственный аудит
- Океан знаний
- Олимпиада РГГУ для школьников
- Межрегиональная олимпиада школьников «САММАТ»
- Олимпиада школьников «Надежда энергетики»
- Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций
- Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание — финансист!»
- Турнир имени М.В. Ломоносова
- Турнир городов
- Санкт-Петербургская олимпиада школьников
- Олимпиада Юношеской математической школы
- Многопрофильная инженерная олимпиада «Звезда»
- Оборонно-техническая олимпиада
- Городская открытая олимпиада школьников по физике
- Инженерная олимпиада школьников
- Интернет-олимпиада школьников по физике
- Олимпиада школьников «Робофест»
- Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»
- Твой путь в настоящую науку
- «Наследники Левши»
- Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием",,,,"- Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»
- Московская олимпиада школьников
- Всероссийская олимпиада школьников «Высшая проба»
- Олимпиада школьников «Шаг в будущее»
- Отраслевая олимпиада школьников «Газпром»
- Олимпиада школьников «Физтех»
- Олимпиада школьников Санкт-Петербургского государственного университета
- Олимпиада школьников «Ломоносов»
- Всероссийский конкурс научных работ школьников «Юниор»
- Открытая олимпиада школьников по программированию «Когнитивные технологии»
- Открытая олимпиада школьников по программированию
- Открытая олимпиада школьников
- Олимпиада школьников по программированию «ТехноКубок»
- Олимпиада школьников по информатике и программированию
- Олимпиада школьников «Гранит науки»
- Международная олимпиада школьников Уральского федерального университета «Изумруд»
- Международная олимпиада «Innopolis Open»
- Вузовско-академическая олимпиада по информатике
- Всесибирская открытая олимпиада школьников
- Олимпиада школьников «Покори Воробьевы горы!»
- Олимпиада «Курчатов»
- Объединенная межвузовская олимпиада школьников
- Межрегиональная олимпиада школьников «Будущие исследователи — будущее науки»
- «Формула Единства» / «Третье тысячелетие»
- Межрегиональная олимпиада школьников имени И.Я. Верченко
- Всероссийская олимпиада по искусственному интеллекту
- Отраслевая физико-математическая олимпиада школьников «Росатом»
- Межрегиональные предметные олимпиады КФУ
- Университетская олимпиада школьников «Бельчонок»
- Олимпиада школьников «Высокие технологии и материалы будущего»
- Межрегиональная олимпиада школьников «САММАТ»
- Олимпиада школьников «Надежда энергетики»
- Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций
- Турнир имени М.В. Ломоносова
- Турнир городов
- Санкт-Петербургская олимпиада школьников
- Олимпиада Юношеской математической школы
- Многопрофильная инженерная олимпиада «Звезда»
- Оборонно-техническая олимпиада
- Городская открытая олимпиада школьников по физике
- Инженерная олимпиада школьников
- Интернет-олимпиада школьников по физике
- Олимпиада школьников «Робофест»
- Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»
- «Наследники Левши»
- Открытая региональная межвузовская олимпиада школьников (ОРМО)",,,,"- «Формула Единства» / «Третье тысячелетие»
- Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»
- Олимпиада школьников «Высшая проба»
- Всесибирская открытая олимпиада школьников
- Вузовско-академическая олимпиада по информатике
- Городская открытая олимпиада школьников по физике
- Инженерная олимпиада школьников
- Интернет-олимпиада школьников по физике
- Международная олимпиада «Innopolis Open»
- Международная олимпиада школьников Уральского федерального университета «Изумруд»
- Межрегиональная олимпиада школьников имени И.Я. Верченко
- Межрегиональные предметные олимпиады Казанского (Приволжского) федерального университета
- Многопрофильная инженерная олимпиада «Звезда»
- Московская олимпиада школьников
- Олимпиада школьников «Гранит науки»
- Олимпиада школьников «Ломоносов»
- Олимпиада школьников «Надежда энергетики»
- Олимпиада школьников «Покори Воробьевы горы!»
- Олимпиада школьников «Робофест»
- Олимпиада школьников «Физтех»
- Олимпиада школьников «Шаг в будущее»
- Олимпиада школьников по информатике и программированию
- Олимпиада школьников по программированию «ТехноКубок»
- Объединённая межвузовская математическая олимпиада школьников
- Олимпиада Курчатов
- Санкт-Петербургская астрономическая олимпиада
- Санкт-Петербургская олимпиада школьников
- Турнир городов
- Турнир имени М.В. Ломоносова
- Университетская олимпиада школьников «Бельчонок»",,,
Процент профильности (профиль / ФГОС),"52,5",,"68,3",,"62,5",,55,,"73,5",,77,
Первый язык программирования:,1 семестр,,1 семестр,,1 семестр,,1 семестр,,2 семестр,,1 семестр,
Первая практика:,3 курс,,2 курс,,3 курс,,3 курс,,2 курс,,3 курс,
,УЧЕБНЫЕ ПЛАНЫ (программа - когда начинается - сколько часов),,,,,,,,,,,
,Предмет,Начало / Длительность,Предмет,Начало / Длительность,Предмет,Начало / Длительность,Предмет,Начало / Длительность,Предмет,Начало / Длительность,Предмет,Начало / Длительность
,Архитектура компьютера и операционные системы,2 курс — 4 ЗЕТ,Алгоритмы и структуры данных,1 курс — 8 ЗЕТ,История России,1 курс — 4 ЗЕТ,История  России,1 курс — 4 ЗЕТ,Иностранный язык,1 курс — 10 ЗЕТ,Иностранный язык,1 курс — 10 ЗЕТ
